area_Id,Post Office Name,ÊPincode,Districts Name,City Name,State
1,Ramdurg,Ê591123,Belgaum,Ramdurg,Karnataka
2,Ramdurg Town,Ê591123,Belgaum, Belgaum,Karnataka
3,Sambra,Ê591124,Bijapur,Belgaum,Karnataka
4,Sampgaon,Ê591125,Belgaum, Belgaum,Karnataka
5,Saundatti,Ê591126,Belgaum, Belgaum,Karnataka
6,Saundatti Apmc,Ê591126,Belgaum, Belgaum,Karnataka
7,Saundatti Bazar,Ê591126,Belgaum, Belgaum,Karnataka
8,Saundatti Chidambarnagar,Ê591126,Belgaum, Belgaum,Karnataka
9,Sureban,Ê591127,Belgaum, Belgaum,Karnataka
10,Uchgaon,Ê591128,Belgaum, Belgaum,Karnataka
11,Yargatti,Ê591129,Belgaum, Belgaum,Karnataka
12,Salahalli,Ê591130,Belgaum, Belgaum,Karnataka
13,Parishwad,Ê591131,Belgaum, Belgaum,Karnataka
14,Bhendigeri,Ê591132,Belgaum, Belgaum,Karnataka
15,Sulebhavi,Ê591134,Belgaum, Belgaum,Karnataka
16,Honge,Ê591135,Belgaum, Belgaum,Karnataka
17,Yadwad,Ê591136,Belgaum, Belgaum,Karnataka
18,Ambadgatti,Ê591137,Belgaum, Belgaum,Karnataka
19,Anakalgi,Ê591138,Belgaum, Belgaum,Karnataka
20,Belagunda,Ê591139,Belgaum, Belgaum,Karnataka
21,Belgundi,Ê591139,Belgaum, Belgaum,Karnataka
22,Devalapur,Ê591140,Belgaum, Belgaum,Karnataka
23,Gandhi Gwad,Ê591141,Belgaum, Belgaum,Karnataka
24,Halashi,Ê591142,Belgaum, Belgaum,Karnataka
25,Kadoli,Ê591143,Belgaum, Belgaum,Karnataka
26,Kakkeri,Ê591144,Belgaum, Belgaum,Karnataka
27,Kanvikarvinkop,Ê591145,Belgaum, Belgaum,Karnataka
28,Yallur,Ê591146,Belgaum, Belgaum,Karnataka
29,Deshnur,Ê591147,Belgaum, Belgaum,Karnataka
30,Hudi,Ê591148,Belgaum, Belgaum,Karnataka
31,Bailur,Ê591149,Belgaum, Belgaum,Karnataka
32,Bastwad,Ê591150,Belgaum, Belgaum,Karnataka
33,Batkurki,Ê591151,Belgaum, Belgaum,Karnataka
34,Budakatti,Ê591152,Belgaum, Belgaum,Karnataka
35,Devalatti,Ê591154,Belgaum, Belgaum,Karnataka
36,Halgatti,Ê591155,Belgaum, Belgaum,Karnataka
37,Hanchinal,Ê591157,Belgaum, Belgaum,Karnataka
38,Holehosur,Ê591158,Belgaum, Belgaum,Karnataka
39,Hooli,Ê591159,Belgaum, Belgaum,Karnataka
40,Hulkund,Ê591160,Belgaum, Belgaum,Karnataka
41,Hunshikatti,Ê591161,Belgaum, Belgaum,Karnataka
42,Inamhangal,Ê591162,Belgaum, Belgaum,Karnataka
43,Inchal,Ê591163,Belgaum, Belgaum,Karnataka
44,Kadroli,Ê591164,Belgaum, Belgaum,Karnataka
45,Marihal,Ê591167,Belgaum, Belgaum,Karnataka
46,Mudkavi,Ê591168,Belgaum, Belgaum,Karnataka
47,Tigadi,Ê591171,Belgaum, Belgaum,Karnataka
48,Yellamma Hills,Ê591173,Belgaum, Belgaum,Karnataka
49,Dhamne,Ê591175,Belgaum, Belgaum,Karnataka
50,Halga,Ê591176,Belgaum, Belgaum,Karnataka
51,Avaradi,Ê591177,Belgaum, Belgaum,Karnataka
52,Akkatangerhal,Ê591178,Belgaum, Belgaum,Karnataka
53,Asund I,Ê591180,Belgaum, Belgaum,Karnataka
54,Machhe,Ê591181,Belgaum, Belgaum,Karnataka
55,Ambewadi,Ê591182,Belgaum, Belgaum,Karnataka
56,Betsur,Ê591183,Belgaum, Belgaum,Karnataka
57,Dodwad,Ê591184,Belgaum, Belgaum,Karnataka
58,Hanabaratti,Ê591185,Belgaum, Belgaum,Karnataka
59,Hannikeri,Ê591186,Belgaum, Belgaum,Karnataka
60,Hoskoti,Ê591187,Belgaum, Belgaum,Karnataka
61,Karikatti,Ê591188,Belgaum, Belgaum,Karnataka
62,Mutge,Ê591189,Belgaum, Belgaum,Karnataka
63,Neginhal,Ê591190,Belgaum, Belgaum,Karnataka
64,Sangolli,Ê591191,Belgaum, Belgaum,Karnataka
65,Sattigere,Ê591192,Belgaum, Belgaum,Karnataka
66,Sopadia,Ê591193,Belgaum, Belgaum,Karnataka
67,Tigadolli,Ê591194,Belgaum, Belgaum,Karnataka
68,Turmari,Ê591195,Belgaum, Belgaum,Karnataka
69,Ugargol,Ê591196,Belgaum, Belgaum,Karnataka
70,Kangralikhurd,Ê591197,Belgaum, Belgaum,Karnataka
71,Muchandi,Ê591198,Belgaum, Belgaum,Karnataka
72,Chikodi,Ê591201,Belgaum,Chikodi,Karnataka
73,Chikodi Bazar,Ê591201,Belgaum, Belgaum,Karnataka
74,Chikodi College Road,Ê591201,Belgaum, Belgaum,Karnataka
75,Chikodi Extn,Ê591201,Belgaum, Belgaum,Karnataka
76,Akol,Ê591211,Belgaum, Belgaum,Karnataka
77,Anantpur,Ê591212,Belgaum, Belgaum,Karnataka
78,Ankli,Ê591213,Belgaum, Belgaum,Karnataka
79,Bedakihal,Ê591214,Belgaum, Belgaum,Karnataka
80,Benadi,Ê591215,Belgaum, Belgaum,Karnataka
81,Borgaon,Ê591216,Belgaum, Belgaum,Karnataka
82,Dhupdal,Ê591218,Belgaum, Belgaum,Karnataka
83,Galataga,Ê591219,Belgaum, Belgaum,Karnataka
84,Harugere,Ê591220,Belgaum, Belgaum,Karnataka
85,Hebbal,Ê591221,Belgaum, Belgaum,Karnataka
86,Kabbur,Ê591222,Belgaum, Belgaum,Karnataka
87,Kalloli,Ê591224,Belgaum, Belgaum,Karnataka
88,Kanagale,Ê591225,Belgaum, Belgaum,Karnataka
89,Karoshi,Ê591226,Belgaum, Belgaum,Karnataka
90,Koujalgi,Ê591227,Belgaum, Belgaum,Karnataka
91,Manoli,Ê591227,Belgaum, Belgaum,Karnataka
92,Khadaklat,Ê591228,Belgaum, Belgaum,Karnataka
93,Kognoli,Ê591229,Belgaum, Belgaum,Karnataka
94,Kokatnur,Ê591230,Belgaum, Belgaum,Karnataka
95,Konnur,Ê591231,Belgaum,Konnur,Karnataka
96,Madbhavi,Ê591232,Belgaum, Belgaum,Karnataka
97,Mamadapur,Ê591233,Belgaum, Belgaum,Karnataka
98,Mangasulli,Ê591234,Belgaum, Belgaum,Karnataka
99,Mugalkhed,Ê591235,Belgaum, Belgaum,Karnataka
100,Nidsoshi,Ê591236,Belgaum, Belgaum,Karnataka
101,Nipani,Ê591237,Belgaum,Nipani,Karnataka
102,Nipani C R D,Ê591237,Belgaum, Belgaum,Karnataka
103,Nipani N C,Ê591237,Belgaum, Belgaum,Karnataka
104,Pattankudi,Ê591238,Belgaum, Belgaum,Karnataka
105,Sadalga,Ê591239,Belgaum, Belgaum,Karnataka
106,Satti,Ê591240,Belgaum, Belgaum,Karnataka
107,Saundalga,Ê591241,Belgaum, Belgaum,Karnataka
108,Soundalaga,Ê591241,Belgaum, Belgaum,Karnataka
109,Shirguppi,Ê591242,Belgaum, Belgaum,Karnataka
110,Thagarthi,Ê591243,Belgaum, Belgaum,Karnataka
111,Thanahattargi,Ê591243,Belgaum, Belgaum,Karnataka
112,Yaksamba,Ê591244,Belgaum, Belgaum,Karnataka
113,Yamakanmardi,Ê591245,Belgaum, Belgaum,Karnataka
114,Karadga,Ê591246,Belgaum, Belgaum,Karnataka
115,Chikodi Sugar Factory,Ê591247,Belgaum, Belgaum,Karnataka
116,Aigali,Ê591248,Belgaum, Belgaum,Karnataka
117,Ingalgoan,Ê591249,Belgaum, Belgaum,Karnataka
118,Kulgod,Ê591250,Belgaum, Belgaum,Karnataka
119,Ghoderi,Ê591251,Belgaum, Belgaum,Karnataka
120,Jugai,Ê591252,Belgaum, Belgaum,Karnataka
121,Yadgud,Ê591253,Belgaum, Belgaum,Karnataka
122,Daddi,Ê591254,Belgaum, Belgaum,Karnataka
123,Hidkal,Ê591255,Belgaum, Belgaum,Karnataka
124,Chamakere,Ê591256,Belgaum, Belgaum,Karnataka
125,Kohalli,Ê591257,Belgaum, Belgaum,Karnataka
126,Kempwad,Ê591258,Belgaum, Belgaum,Karnataka
127,Murgundi,Ê591259,Belgaum, Belgaum,Karnataka
128,Savadi,Ê591260,Belgaum, Belgaum,Karnataka
129,Darur,Ê591261,Belgaum, Belgaum,Karnataka
130,Gundewadi,Ê591262,Belgaum, Belgaum,Karnataka
131,Bhoj,Ê591263,Belgaum, Belgaum,Karnataka
132,Manjari,Ê591264,Belgaum, Belgaum,Karnataka
133,Telsang,Ê591265,Belgaum, Belgaum,Karnataka
134,Adahalli,Ê591266,Belgaum, Belgaum,Karnataka
135,Adhalli,Ê591266,Belgaum, Belgaum,Karnataka
136,Adi,Ê591267,Belgaum, Belgaum,Karnataka
137,Ammangi,Ê591268,Belgaum, Belgaum,Karnataka
138,Arjun Nagar,Ê591269,Belgaum, Belgaum,Karnataka
139,Belkad,Ê591270,Belgaum, Belgaum,Karnataka
140,Bhirdi,Ê591271,Belgaum, Belgaum,Karnataka
141,Chinchani,Ê591272,Belgaum, Belgaum,Karnataka
142,Chandur,Ê591273,Belgaum, Belgaum,Karnataka
143,Hirekudi,Ê591274,Belgaum, Belgaum,Karnataka
144,Hunnargi,Ê591275,Belgaum, Belgaum,Karnataka
145,Hunshyal,Ê591276,Belgaum, Belgaum,Karnataka
146,Janwad,Ê591279,Belgaum, Belgaum,Karnataka
147,Jatrat,Ê591280,Belgaum, Belgaum,Karnataka
148,Kadapur,Ê591281,Belgaum, Belgaum,Karnataka
149,Kallol,Ê591282,Belgaum, Belgaum,Karnataka
150,Kollol,Ê591282,Belgaum, Belgaum,Karnataka
151,Kerur,Ê591283,Belgaum,Kerur,Karnataka
152,Kodni,Ê591284,Belgaum, Belgaum,Karnataka
153,Kurli,Ê591285,Belgaum, Belgaum,Karnataka
154,Kurnad,Ê591285,Belgaum, Belgaum,Karnataka
155,Kurni,Ê591286,Belgaum, Belgaum,Karnataka
156,Kothali,Ê591287,Belgaum, Belgaum,Karnataka
157,Kunnur,Ê591288,Belgaum, Belgaum,Karnataka
158,Mallikwad,Ê591289,Belgaum, Belgaum,Karnataka
159,Mangur,Ê591290,Belgaum, Belgaum,Karnataka
160,Mangutti,Ê591291,Belgaum, Belgaum,Karnataka
161,Masaguppi,Ê591292,Belgaum, Belgaum,Karnataka
162,Nagar Munoli,Ê591293,Belgaum, Belgaum,Karnataka
163,Nanadi,Ê591295,Belgaum, Belgaum,Karnataka
164,Nej,Ê591296,Belgaum, Belgaum,Karnataka
165,New Diggewadi,Ê591297,Belgaum, Belgaum,Karnataka
166,Nilagi,Ê591298,Belgaum, Belgaum,Karnataka
167,Nasalapur,Ê591299,Belgaum, Belgaum,Karnataka
168,Londa,Ê591301,Belgaum,Londa,Karnataka
169,Khanapur,Ê591302,Belgaum,Khanapur,Karnataka
170,Khanapur Town,Ê591302,Belgaum, Belgaum,Karnataka
171,Ainapura,Ê591303,Belgaum, Belgaum,Karnataka
172,Air Force Station,Ê591303,Belgaum, Belgaum,Karnataka
173,Athni,Ê591304,Belgaum,Athni,Karnataka
174,Athni Bazar,Ê591304,Belgaum, Belgaum,Karnataka
175,Athni Bus Stand,Ê591304,Belgaum, Belgaum,Karnataka
