bought_id,buyer_id,product_id,date,price
1,20,6197,2020-05-03,6577
2,78,3072,2021-09-02,1204
3,74,3130,2022-04-25,9377
4,54,6185,2020-05-03,9184
5,57,2733,2021-10-02,4986
6,26,3699,2022-04-25,1390
7,44,966,2020-04-03,7971
8,86,6745,2021-09-02,8105
9,69,1071,2022-04-15,9908
10,41,5298,2022-05-12,1155
11,24,4052,2021-10-02,8385
12,22,1811,2022-04-25,3957
13,82,5734,2020-04-03,6975
14,28,938,2021-09-02,4576
15,18,5286,2022-04-25,4191
16,20,2572,2021-10-02,8947
17,37,1636,2022-04-25,6612
18,17,4210,2020-04-03,8312
19,71,1449,2021-09-02,2339
20,83,6061,2022-04-25,1321
